"series","Basec","BottomUpc","JPPc","OLSc","OLScv","WLSc","WLScv","MinTShrc","MinTShrcv"
141,631.685623956881,631.685623956881,1453.55245432973,647.149966823125,648.407582626083,633.285415864475,643.616829729547,663.227491027066,667.64967381249
142,1036.48625987664,1036.48625987664,1791.52215918039,1234.34177365676,1225.073198388,1200.95342173569,1157.55259083692,1088.26002544096,1081.23538071841
143,28.2622562153862,28.2622562153862,174.850557305913,131.69234788888,137.27556936541,64.6686276154241,90.2661684398184,27.4736325990629,27.397455896315
144,47.608208982905,47.608208982905,113.567609254305,136.965524374265,144.016794161719,74.8065536373323,109.171623543683,42.1702097316936,42.0848640119674
145,9.35605925686361,9.35605925686361,247.386538930089,127.061311448492,133.564750584852,60.2532293428417,92.3893951614719,9.27184870750847,9.25417172843561
146,45.9725572420083,45.9725572420083,92.7855834693587,137.890021824572,144.25714509303,77.7121142456102,103.489776420858,41.3343154668546,41.4366960583807
147,569.897914333751,569.897914333751,588.683395334796,399.963701471963,406.619194980983,439.997737825839,414.764951848747,577.400598990364,577.474454877394
148,27.5781038555926,27.5781038555926,206.504590445983,125.262980370561,130.685816236992,65.5954628333245,95.5345612225717,26.5140189044317,26.581305400689
149,76.7905652908331,76.7905652908331,140.968214911403,289.998749232903,318.647101792274,124.395665631925,158.901687553275,75.8446236961677,75.9028073965122
150,412.447841422973,412.447841422973,1068.13149876001,463.637001384329,477.991909028788,358.661439212835,357.471270650994,289.693982111275,288.738985195606
151,209.991780416649,209.991780416649,340.685285213105,364.583676498429,389.212772899778,235.341633706919,245.577659100134,206.620959705254,206.790819388744
152,399.869714932799,399.869714932799,817.234337085999,679.728440056815,673.49903722237,581.438937827363,568.536419172553,421.302895210391,421.04759003133
153,76.2377304408483,76.2377304408483,524.32034257206,513.62041033847,513.809835078198,385.068619099587,389.072233104953,76.2732545296455,76.6290907193645
154,3041.49666965307,3041.49666965307,5133.63108831877,2662.1294596868,2670.29715823118,2770.06709385805,2784.23568345634,2613.27553762078,2634.43301772285
155,51.6427094521104,51.6427094521104,610.130456833924,505.68743795959,506.339278732029,375.600228844149,370.553552027172,51.5980060909383,51.5497541028637
156,1923.6211051128,1923.6211051128,5591.26863269869,1619.94905260241,1624.19745235764,1681.61702969189,1695.02157997932,1445.65507983002,1527.24548915957
157,1157.91048391415,1157.91048391415,1316.56957981943,784.675609844994,794.032600794147,828.441833277365,844.332879616007,1122.98703689314,1124.36734196097
158,133.837345492867,133.837345492867,365.077406046636,1112.07641997406,1114.26606513245,818.316951989074,824.297987578093,133.211439585935,133.306287722161
159,138.293214574855,138.293214574855,348.936805230933,1095.22086802373,1096.66682324089,808.994074955206,817.751973368891,138.761769439848,138.639980820584
160,3291.16982029791,3291.16982029791,10974.3768098976,2518.39445721565,2523.73158063515,2725.26776056244,2729.7997804487,1709.17090249472,2150.08010090865
161,6.10412699186289,6.10412699186289,133.055736851285,431.667030024227,434.301827619671,246.290835859032,258.821560486664,6.09973039686348,6.1030965443149
162,7.90649623652974,7.90649623652974,126.680752362034,434.094674932774,436.915622758836,248.641464101352,260.03164421901,7.47369793051076,7.44792677562291
163,9.98009472866519,9.98009472866519,126.044832249569,433.104568370385,435.918177646871,247.83682393193,259.149752308286,8.8953955696719,8.86808815817795
164,146.431586805143,146.431586805143,119.737082536828,257.533590495974,266.873660303404,190.781301784107,202.346346849404,145.066323475648,144.937595301028
165,64.9884694333497,64.9884694333497,258.10734477468,246.562169543427,252.341053870442,172.183806702401,179.578377199029,64.5429311074725,64.5388219818766
166,60.9359631012435,60.9359631012435,125.852303777084,218.07720672913,227.3184814358,145.185897268046,156.676722910639,60.6359654480252,60.5733659532628
167,259.768484837414,259.768484837414,459.836527456045,270.991311570726,271.445854438488,254.46173655182,262.007694770249,249.831005010357,249.755614768811
168,175.818863371024,175.818863371024,193.472156374215,221.468492640126,225.755551316333,179.023384183296,173.090060247952,171.921270803179,172.363813396239
169,899.767922606978,899.767922606978,2831.16692947759,794.893667610622,797.182723846028,802.88761621128,805.730205177396,614.521968459572,627.684524289124
170,76.2853496035897,76.2853496035897,94.5166813188746,138.158693291343,144.174324030537,96.1445039322547,117.385852642757,75.3837973568113,75.3658754711982
171,169.459147955933,169.459147955933,211.709414541189,198.458501617448,203.935155758774,168.236373705573,192.408475180447,158.247255216779,158.597168422475
172,32.6484150427837,32.6484150427837,264.413817272443,135.0314427313,140.481997598352,83.6088845498608,108.579070849547,32.4539546015822,32.4780936053984
173,686.623375934118,686.623375934118,1076.03250012636,712.648493028127,716.878234523311,707.027740439752,709.743799108744,711.431656747258,712.059469055932
174,117.850065294207,117.850065294207,25.9524400948421,159.775266039079,161.411122683051,134.080738663157,148.713151239351,119.023432947934,119.156696284866
175,79.4173345571193,79.4173345571193,131.036856241356,141.654383624994,147.934911679127,93.8638779080401,119.092794706355,75.567835681231,75.5409012814246
176,151.447445804568,151.447445804568,210.264670165596,177.58210857094,181.234502009284,160.916404219786,167.444163812268,158.91872521594,158.974886603167
177,347.670245779446,347.670245779446,799.233356484586,335.916633062926,337.55912450509,329.826647643167,333.592367964202,305.089121156955,305.596308300669
178,406.275571072012,406.275571072012,1073.86989657686,355.244698554995,357.252674950088,365.520984990157,375.346658781651,330.690261752504,328.925636938495
179,190.971750258796,190.971750258796,174.585941761469,238.828738153244,242.187522741059,212.728185355931,228.76360962529,193.571599073447,193.599381134788
180,197.684465656518,197.684465656518,399.613958379189,165.460117012862,174.113961880751,124.566541602215,154.468077653221,197.296803604648,197.14522223056
181,439.145958545439,439.145958545439,838.669067737788,407.754390914988,415.414529255072,401.135370778346,425.488498981885,389.33300434582,391.991686377079
182,137.182373392267,137.182373392267,40.6282614122982,190.16418926262,196.104894915014,156.711001498148,180.89512293928,134.432446031246,134.32188125253
183,130.584623808561,130.584623808561,14.9961692832235,183.273499787331,186.467389750139,157.330618678137,166.359900599166,134.116706691228,134.072233246008
184,523.253285598928,523.253285598928,1253.92444642696,471.153165375315,474.116786685063,478.96009148389,493.475602359232,450.340986213059,461.890049354908
185,4.29798531964611,4.29798531964611,166.818369031933,228.56768541286,261.496192723113,42.9105087215134,92.509885655401,3.80749388701052,3.81633248196903
186,1.18713856021848,1.18713856021848,174.210769581878,227.643220434474,260.559968631805,42.1534783714844,91.2557312998063,1.16960973970696,1.19051796304469
187,188.750268283842,188.750268283842,373.790116346444,192.905511399353,200.940342612543,178.421906643678,194.058687972722,164.58885841021,164.481071930357
188,83.9704804036889,83.9704804036889,89.1515244586924,109.442067206924,123.740145706666,83.997707993251,115.750603637581,81.4928031089345,82.2700790104292
189,1294.86129757312,1294.86129757312,1442.46135334062,1266.02274467522,1251.4034136827,1281.1439248876,1236.31818503155,1278.3640014699,1278.37836186384
190,77.6093214405666,77.6093214405666,70.0009747497633,103.172816314195,114.110096193242,86.288051006459,109.353744085623,83.4191172104787,83.4189114044274
191,243.347581549224,243.347581549224,332.314078776317,174.5213397461,167.732916958297,239.300640968047,181.196532164414,246.003864423855,245.848289756695
192,191.85913099795,191.85913099795,234.421764145542,151.17360283831,162.147692952839,136.315590460974,150.683628591512,191.199656745414,191.15822936105
193,35.2090136136085,35.2090136136085,99.3907379902103,76.3155806972393,92.2311891744829,42.5192042854536,87.7787323670697,34.7627007637472,34.4369405617296
194,337.082288341024,337.082288341024,474.36232083342,280.726901132243,268.75656296392,343.723023261085,286.330845374082,349.350620077383,348.916986047805
195,2.88982756697482,2.88982756697482,138.754890142005,130.388811694006,157.716860356844,37.0461106850938,92.5928968570794,2.96241789763053,2.96246322676858
196,7.74714408534913,7.74714408534913,121.9577656723,129.58568456261,156.498286631342,35.9640593223878,92.1890171707347,7.57502238953595,7.57443732624182
197,6260.45554945996,6260.45554945996,6419.79277759467,6273.86976871937,6238.38680822244,6320.92632187403,6253.00279893,6361.52950151055,6361.48460867976
198,39.6659275652778,39.6659275652778,70.0367486156141,142.898179940331,170.17197934829,52.9337823414173,103.949235211735,68.5824781832437,68.6364990954383
199,9.56401135256026,9.56401135256026,117.159914653449,131.062487407824,157.842178325759,37.399314461892,91.8179733463896,9.78991864294576,9.77661470000065
1,10860.8109344417,10784.7472364901,101207.853328968,8510.47850172527,10860.8109344417,4288.95212245734,10860.8109344417,4446.67279544634,10860.8109344417
2,7693.45022620281,7891.36070462719,41078.1508398202,4505.13730243962,4469.03625414924,4226.10191547213,4163.17251216026,4170.25693064303,7696.31366903488
3,4729.7551341462,3653.22796488892,20684.0499840176,3497.47339030125,3555.21916921663,3257.13270732035,3018.95175547477,3273.64824665252,2963.07401852884
4,1102.75517262548,1228.95436058609,3353.6501767255,1797.61332188231,2284.22468745075,650.202365750747,2770.77427649693,589.734203226652,546.489291407145
5,5848.99943929227,3279.56288496487,17454.4282192121,3158.41051786476,3179.74856929609,2329.79972825314,2294.28827467682,2214.74172200486,2016.6901233636
6,3996.49597566529,3737.34942818831,15718.3539425923,2574.47228861941,2758.53051208438,1957.80137626087,2166.28654326862,1992.65645613367,2236.99853059828
7,8258.14483942691,7752.06771395739,10049.7516328557,8116.87029941917,8075.3273708802,8606.12073375793,7523.30245944116,8554.57581032457,8633.57638453425
8,5291.46493852193,4940.31848426686,13796.1032670868,3684.60479709733,3660.23208796498,2852.29142049289,2906.45430097237,2691.32496935381,2847.02389270111
9,7165.11731675432,6322.28290348139,22648.2668562262,3326.08009395924,3299.35583171583,3489.08790002147,3428.92762975492,3054.42671120954,5980.12417165282
10,1552.25515209524,1673.2971940535,4311.93540957867,1843.22257774128,1859.93006488643,1158.49667116811,1377.84182742135,871.492461343197,853.677828455585
11,2643.8149199293,3565.4927676066,7475.98191220348,2190.9941429993,2203.77726632003,2204.50871707209,2180.79611350189,2288.56001531141,2151.35321977558
12,2829.16162459927,1959.27128658957,7899.72480406817,2033.13126262657,1957.58418698393,1951.72468272153,1777.01021731384,1943.55389658088,1774.41953129169
13,1633.47191026584,1981.384083835,5898.07188714139,1222.32568699805,1269.73755529607,1030.89401674012,1147.53099589642,1053.70330281813,1175.37774495849
14,873.587331504121,816.062269433711,1206.42124827315,771.38918193579,896.252634830208,511.341563024971,1274.2563653291,603.34539240176,583.038614810724
15,460.817518963001,653.761777379961,1298.67056278485,684.994094246751,822.518443339002,329.652226420143,818.058625679072,311.924050690915,307.49723461459
16,357.216811096377,695.056719641036,961.485865592522,673.511597737225,816.810494431646,339.394202513482,819.504433106105,264.257460213581,268.933905990638
17,1825.84448887848,2382.47511507041,5713.80475912536,1593.8894406211,1592.39815658347,1604.64006724966,1745.05540740496,1379.58542576332,1299.49055546997
18,492.817934810549,483.859928055424,1342.03018560557,962.239676136889,987.054997072659,287.92033666051,359.209961132673,249.884575552795,250.122319138184
19,2876.87174492806,2981.12825143246,10506.7619915866,1766.84611517996,1762.41802898857,1531.61350708672,1515.04409931638,1581.05695900441,1539.77641150581
20,3508.33754127008,3679.99544645753,10926.9120856814,2147.15594647394,2182.47791450662,1907.76823656909,1929.48747118887,1875.4307288701,2062.27719755422
21,1338.49869848239,1306.11686526226,3601.03032715124,1188.42278050789,1201.4889531908,963.006248732243,971.887504343864,879.015779398429,870.742535290059
22,851.335373541354,622.78644476457,1421.03842526478,1049.0028708175,1125.68004568757,667.89948491358,987.973102261471,567.216443063167,571.49333015104
23,1644.6839251583,1992.82038182505,4264.36343773242,2317.72071488563,2428.12191788638,1925.66771981374,2115.07625463783,1997.30157734068,2066.08163453194
24,1040.89798221584,1595.36898977195,1993.30254718784,1492.59108241864,1577.14994752198,1476.04321950218,1493.01575651367,1465.07766793863,1473.07054452988
25,4705.03443811581,4654.0745683862,4991.09054605267,4416.67008517086,4312.0801465036,4730.65639561858,4313.44870093804,4764.0233120165,4764.73785863321
26,4695.77318729674,4943.24834890575,16053.406304301,3409.66326574357,3381.41131148596,2888.2147193504,2831.74222783341,2691.15334306665,2847.08891798909
27,12.1762046576296,14.8532681370949,2123.6579151132,2126.93249774327,2136.11969051418,981.504077876669,1140.25742315635,10.6999231434289,10.6122173139045
28,7089.44358078335,6322.28290348139,22648.2668562262,3326.08009395924,3299.35583171583,3489.08790002147,3428.92762975492,3054.42671120954,5980.12417165282
29,1430.36742396301,1673.2971940535,4311.93540957867,1843.22257774128,1859.93006488643,1158.49667116811,1377.84182742135,871.492461343197,853.677828455585
30,2617.84342609427,3588.33966341211,9106.08050762245,2224.04118469617,2191.50793798068,2477.07973321217,2327.4947870501,2413.40145553607,2247.29275953474
31,294.975122549343,154.195209518203,1629.06938985885,1149.72506547034,1200.01008930593,666.25445897202,977.970633982937,162.059771840217,164.487027302014
32,2976.65872220723,1959.27128658957,7899.72480406817,2033.13126262657,1957.58418698393,1951.72468272153,1777.01021731384,1943.55389658088,1774.41953129169
33,1396.56762405455,1981.384083835,5898.07188714139,1222.32568699805,1269.73755529607,1030.89401674012,1147.53099589642,1053.70330281813,1175.37774495849
34,838.669607550321,816.525185434619,2305.77417776372,550.146279136519,564.47144895405,508.54950349554,736.970763107837,608.534338117958,588.503478854505
35,21.2803843175986,10.113943033611,1132.28172881311,472.163610351954,554.902644009873,194.963230712647,636.375929248195,9.9569246449084,9.89855176375059
36,544.850040807635,653.761777379961,1298.67056278485,684.994094246751,822.518443339002,329.652226420143,818.058625679072,311.924050690915,307.49723461459
37,364.578621977605,695.056719641036,961.485865592522,673.511597737225,816.810494431646,339.394202513482,819.504433106105,264.257460213581,268.933905990638
38,1883.42518308616,2362.83240681394,6867.91742031917,1397.96138053686,1385.96080445081,1577.06717198532,1540.96134561544,1391.49324175438,1318.07783604601
39,100.571741140667,103.296470520103,1213.33726727551,829.51490618663,857.395681074051,391.11685516438,614.891246588696,66.4519077039765,66.5370101492353
40,465.895884088779,483.859928055424,1342.03018560557,962.239676136889,987.054997072659,287.92033666051,359.209961132673,249.884575552795,250.122319138184
41,2412.30321838566,2981.12825143246,10506.7619915866,1766.84611517996,1762.41802898857,1531.61350708672,1515.04409931638,1581.05695900441,1539.77641150581
