,series,Basec,BottomUpc,JPPc,OLSc,OLScv,WLSc,WLScv,MinTShrc,MinTShrcv,EnergyScore_Opt
1097,99,81.3759475958261,81.3759475958261,104.536382848393,41.7584247804505,40.9628084405651,64.1259419751592,58.9039418313635,65.7570420160001,64.7770410086169,81.55561863663581
1098,100,75.5781986707753,75.5781986707753,121.360636204622,63.0770205470784,62.0363394873953,70.9094966553378,65.4490195621791,64.3684652916141,59.7519128732296,58.15310473387108
1099,101,11.0558895874409,11.0558895874409,19.1740711724861,14.9466207442529,15.4396409652296,12.7855857029989,16.59530790108,12.4401946438016,12.5229862543682,30.070628225263903
1100,102,12.313291526037,12.313291526037,27.5279953759393,12.9261241392651,13.0341095871371,12.5827780953959,13.585710535183,12.3268720837048,12.6171491491748,52.389855244088686
1101,103,81.1682336149627,81.1682336149627,100.279029785848,65.8240344498801,64.8610994256584,71.8127115531018,65.0453097697378,63.5095257938838,61.2169671611633,52.48257984261104
1102,104,5.58362315611533,5.58362315611533,16.10974442146,14.0535890952615,14.6100574457651,10.1605450204647,15.0180525575985,6.96290763319634,7.40747851244335,22.959338427929644
1103,105,35.9349409713789,35.9349409713789,64.7994948337189,27.1233424792092,27.1801024154795,28.0910387922824,29.3694319202441,29.002910601816,29.7868365923506,71.88952899089671
1104,106,94.7089249536266,94.7089249536266,105.754161172105,57.6350659648409,58.1104738250497,68.5658180781016,74.3407164008522,53.704975220137,54.6593697836978,46.562316621296866
1105,107,24.8101287908466,24.8101287908466,12.0031005904848,13.0296822650812,13.0260297496421,12.3417091836462,14.0088311962775,23.0106478068999,23.8267391913501,35.04062928022476
1106,108,6.74922802114009,6.74922802114009,6.9118989993859,6.24041594466256,6.46228182116978,5.7447550351379,8.73247346044763,7.10240615820109,7.50757149573778,10.984109704212159
1107,109,7.02542983680856,7.02542983680856,3.9595105988425,7.23324587244251,7.28631615925594,7.04112346451871,7.62088715640109,6.95638203478257,6.94402218476187,20.508402958578365
1108,110,13.6587983697834,13.6587983697834,24.9330772188924,13.2970226735753,13.3968852007153,13.1513146519278,14.4980080220346,13.0197938669227,13.1224348241885,31.958056880059438
1109,111,11.0770201740627,11.0770201740627,14.519114202561,9.99596764990152,10.3564415357383,9.3419190053114,14.0357343769712,12.6284105313115,12.9641627378758,15.987497121872487
1110,1,1712.43171308619,3770.8498288587,4155.21255218662,1735.55311921279,1712.43171308619,2556.34293416627,1712.43171308619,2687.75802654176,1712.43171308619,771.0883310605027
1111,2,374.045560636442,1552.23389683134,1517.05830006717,560.617579876777,558.267106192601,1088.34174237202,928.440676645112,1189.33454350247,884.238902387616,250.82882473554218
1112,3,129.229342515587,276.980650549155,521.013460420599,138.610624439207,138.124983799033,153.620687357144,116.800512694921,177.647035052846,123.57804832609,176.64982755112612
1113,4,586.489337120069,890.045164624258,1243.99678741588,650.504599728077,647.923354148684,752.526165255838,636.076643499358,740.480866614594,481.498914623363,424.21670775125546
1114,5,44.8054036082049,86.7733332010467,198.389003008596,46.7106759982117,46.7779767918238,47.5378677608375,66.8794489936658,49.5724849526367,45.9951182467565,195.96836858068258
1115,6,127.749537928436,378.05164815636,509.79759068321,177.673050128218,176.418692431899,242.536654833637,204.092955309002,207.164886604664,158.402723659191,316.6034557567209
1116,7,49.651327192579,94.8884507270145,156.116599204699,55.4118056088648,54.9304656961898,60.5537548262562,43.6814442057205,63.4344125523108,51.4586132828843,160.94621793178732
1117,8,72.2327538544812,98.2745268269442,169.781368475919,67.6074831923632,66.4188596047133,65.4069610922024,40.1838023287813,68.2136982624892,59.1726648058937,161.68744799506842
1118,9,416.126624241699,442.444459164533,520.188634362015,259.40099243358,258.944184048688,363.689124096188,341.885041976665,367.677419057387,289.372355791255,187.0954679967147
1119,10,624.662373948323,624.042423381018,707.54718531088,448.011154233239,447.560444044551,556.240616095421,533.922357424193,522.183601292636,442.323855724875,158.66706958257947
1120,11,87.0730472452818,87.0730471259262,146.296285597394,40.276465450212,40.2769130170489,67.9483173101982,62.5877917513552,66.7250198573712,54.4283962480718,102.24419133425789
1121,12,204.314517893431,163.276339772874,146.168374382038,57.9374532008789,57.7920830623829,82.7427730854066,62.4088984698078,138.647721145004,106.086994583619,84.67297765849874
1122,13,56.6562583586711,55.4641000159119,190.417766920175,153.402010119794,153.762036831285,103.435477332191,131.619264598978,76.439151824959,101.726331906682,183.22103416734504
1123,14,114.534565325619,114.534565325669,139.233921890938,31.5361210643545,31.4214817370185,86.7248204530851,78.1431173105316,83.3637594497296,74.4408918737207,66.83112600397328
1124,15,71.5791940769836,95.4614786899783,225.878524537965,68.2350576609544,68.0732685860242,74.8439049213381,66.099471853314,71.1976596266999,59.5388904250039,132.08619867322204
1125,16,32.968806708796,32.9688067887829,70.5241515073448,27.7649891061541,27.7181644013167,30.6484396484045,28.021207053524,31.064984651538,26.3354576123979,66.9882453732001
1126,17,28.3150396374483,36.5176952598057,94.2096478769857,33.9715114528817,34.1309942332935,35.5164293030399,49.2705220225912,36.7376362403913,45.2473805970698,97.51894335829932
1127,18,40.3344080002226,39.4340788887455,72.2138063412264,47.0654431287467,47.429101759298,42.0596859282723,73.3787886871919,36.6422798558759,40.9974030971836,65.65958631487473
1128,19,133.048832275055,184.056140354125,167.040981800803,111.275243835336,110.771480785951,109.454011089668,54.1339785126746,152.307548268836,124.499282433209,79.74017104251536
